STALL | pc=0x000000AC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000AC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000AC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000B0 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000B0 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000B0 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000B4 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000B4 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000B4 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000B8 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000B8 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000B8 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000BC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000BC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000BC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000C0 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000C0 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000C0 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000C4 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000C4 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000C4 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000C8 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000C8 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000C8 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000CC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000CC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000CC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000D0 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000D0 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000D0 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000D4 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000D4 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000D4 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000D8 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000D8 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000D8 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000DC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000DC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000DC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000E0 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000E0 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000E0 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000E4 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000E4 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000E4 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000E8 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000E8 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000E8 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000EC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000EC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000EC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000F0 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000F0 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000F0 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000F4 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000F4 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000F4 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000F8 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000F8 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000F8 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x000000FC instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x000000FC instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x000000FC instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000100 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000100 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000100 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000104 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000104 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000104 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000108 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000108 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000108 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x0000010C instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x0000010C instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x0000010C instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000110 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000110 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000110 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000114 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000114 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000114 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000118 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000118 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000118 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x0000011C instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x0000011C instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x0000011C instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000120 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
STALL | pc=0x00000120 instr=0x00108093 type=addi reason=RAW-MEM rs1=x1 rs2=x0
STALL | pc=0x00000120 instr=0x00108093 type=addi reason=RAW-WB rs1=x1 rs2=x0
STALL | pc=0x00000124 instr=0x00108093 type=addi reason=RAW-EX rs1=x1 rs2=x0
